Gene symbol	Description	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	cell-cell adhesion	cell surface	opc_fold_change	endothelial_fold_change
Mfsd3	Major facilitator superfamily domain containing 3	2.3881	1.8437	2.4038	4.9028	7.6115	3.4795	1.4186	0	0	-1.6628	-1.4107
Mfsd4	Major facilitator superfamily domain containing 4	2.8742	2.4211	3.8903	1.9664	0.77944	0.79627	3.1049	0	0	2.3194	0.54961
Mfsd5	Major facilitator superfamily domain containing 5	16.292	10.068	19.06	19.847	14.508	50.628	9.0787	0	0	0.39367	-1.2594
Mfsd6		0.82652	15.908	8.5607	9.7502	7.9049	0.17904	1.1556	0	0	0.11499	-2.637
Mfsd6l		0.1	0.1	0.1	0.1	0.1	0.18573	1.0723	0	0	0	3.23
Mfsd7a		0.75993	0.1	0.17661	1.0968	0.68273	1.4198	0.19352	0	0	-1.9507	-1.8672
Mfsd7b		4.5201	6.2547	3.5072	4.4625	1.1561	1.0606	1.8283	0	0	1.601	-0.93417
Mfsd7c		0.87874	0.22099	0.55212	0.10968	0.13855	0.52747	59.123	0	0	1.9945	7.1911
Mfsd8	Major facilitator superfamily domain containing 8	8.1544	4.4359	9.7603	8.7433	4.4628	1.3915	2.6293	0	0	1.129	-1.2278
Mfsd9	Major facilitator superfamily domain containing 9	1.8885	0.95338	1.9505	1.3807	1.1995	0.31113	2.6153	0	0	0.70142	1.0301
Mga	MAX gene associated	11.564	4.9137	5.5144	3.3805	0.58267	1.3224	3.6987	0	0	3.2425	-0.29769
Mgam	Maltase-glucoamylase (alpha-glucosidase)	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mgat1	Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	19.024	9.7439	22.784	15.756	9.6214	91.727	25.955	0	0	1.2437	-0.11503
Mgat2	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	10.188	14.312	10.299	6.6975	4.9582	9.0054	26.057	0	0	1.0547	1.4952
Mgat3	Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	11.08	18.576	22.427	32.445	28.358	0.94805	0.34057	0	0	-0.33854	-5.7998
Mgat4a	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	0.35362	3.1729	5.5978	1.812	0.28542	18.583	19.554	0	0	4.2937	1.9769
Mgat4b	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	8.0599	36.536	19.055	9.5285	5.4012	31.464	33.012	0	0	1.8189	0.84794
Mgat4c	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)	1.7271	3.8411	0.15008	0.1	0.1	0.1	0.1	0	0	0.58572	-3.3263
Mgat5	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	14.138	27.218	4.7951	6.1349	4.3604	14.67	2.0724	0	0	0.13709	-2.5199
Mgat5b	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	0.16017	29.066	25.08	10.933	1.0284	0.9219	0.1054	0	0	4.6081	-6.7313
Mgea5	Meningioma expressed antigen 5 (hyaluronidase)	35.821	47.606	31.15	29.731	14.436	9.7147	35.935	0	0	1.1096	0.35602
Mgl2		0.1	0.39763	0.30875	0.1	0.1	11.737	0.1	0	0	1.6265	-4.4086
Mgll	Monoglyceride lipase	32.459	11.462	34.351	58.063	52.288	39.907	49.74	0	0	-0.60614	0.38505
Mgmt	O-6-methylguanine-DNA methyltransferase	0.56774	0.33589	1.8241	0.34184	0.1	4.8975	3.8798	0	0	4.1891	1.5289
Mgp	Matrix Gla protein	0.428	0.77705	2.9178	0.39656	0.88247	0.66787	30.488	0	0	1.7253	4.9135
Mgrn1	Mahogunin, ring finger 1	24.593	39.065	35.521	38.83	28.843	56.868	18.807	0	0	0.30043	-0.98742
Mgst1	Microsomal glutathione S-transferase 1	18.802	1.2607	1.162	0.38352	0.64663	1.1516	12.107	0	0	0.84562	1.6339
Mgst2	Microsomal glutathione S-transferase 2	0.1	0.1	0.1	0.1	0.1	0.23607	1.3731	0	0	0	3.4845
Mgst3	Microsomal glutathione S-transferase 3	3.8511	27.079	13.433	10.975	40.768	11.605	21.58	0	0	-1.6017	0.2656
Mia1		3.3083	15.363	0.33787	0.1	0.22515	0.37244	0.56859	0	0	0.58559	-2.5302
Mia2	Melanoma inhibitory activity 2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mia3	Melanoma inhibitory activity family, member 3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Miat	Myocardial infarction associated transcript (non-protein coding)	34.672	76.945	16.97	5.9916	0.42414	1.052	0.15092	0	0	5.3223	-7.2312
Mib1	Mindbomb homolog 1 (Drosophila)	14.503	9.5812	9.9803	9.8978	2.2966	2.2976	7.979	0	0	2.1196	-0.020404
Mib2	Mindbomb homolog 2 (Drosophila)	9.5678	16.678	13.012	10.448	8.509	17.533	5.5528	0	0	0.61281	-1.185
Mical1	Microtubule associated monoxygenase, calponin and LIM domain containing 1	17.561	4.6425	8.4507	11.149	1.5146	13.925	5.0597	0	0	2.4801	-0.91501
Mical2	Microtubule associated monoxygenase, calponin and LIM domain containing 2	7.6178	30.38	2.8818	0.47524	2.3259	3.3835	0.5601	0	0	0.3092	-3.8079
Mical3	Microtubule associated monoxygenase, calponin and LIM domain containing 3	2.3213	6.219	3.3293	31.34	6.4489	0.90765	3.0273	0	0	-0.95383	-1.4771
Micalcl	MICAL C-terminal like	1.4963	1.0733	0.15607	0.1	0.1	0.16804	0.1	0	0	0.64218	-2.3663
Micall1	MICAL-like 1	4.4042	11.323	4.5874	52.796	81.401	2.8895	5.8639	0	0	-4.1493	-2.1615
Micall2	MICAL-like 2	6.0911	0.72316	1.3902	1.2632	0.25344	0.17672	4.5045	0	0	2.4556	1.4492
Mid1	Midline 1 (Opitz/BBB syndrome)	19.132	9.751	17.199	4.1356	0.84442	3.1356	6.6488	0	0	4.3482	-0.44209
Mid1ip1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	86.656	35.983	69.656	54.302	131	49.114	7.6001	0	0	-0.91129	-3.2261
Mid2	Midline 2	5.0336	5.1565	0.35338	0.23777	0.30325	0.1	2.9975	0	0	0.22074	0.6853
Midn	Midnolin	30.088	42.209	42.328	17.315	2.2439	34.39	26.333	0	0	4.2375	-0.093448
Mier1	Mesoderm induction early response 1 homolog (Xenopus laevis)	15.693	7.4525	7.5012	6.2318	2.9162	1.8915	22.523	0	0	1.363	1.6968
Mier2	Mesoderm induction early response 1, family member 2	9.9927	9.9372	9.8015	7.6737	6.343	14.796	1.033	0	0	0.62784	-3.2396
Mier3	Mesoderm induction early response 1, family member 3	13.048	4.9947	5.2457	2.9708	0.79016	1.0636	3.9472	0	0	2.7309	-0.24735
Mif	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	15.945	40.856	42.793	41.91	34.63	38.788	21.104	0	1	0.30535	-0.76326
Mif4gd	MIF4G domain containing	14.662	2.6957	59.443	40.587	21.632	26.433	26.132	0	0	1.4583	-0.077576
Miip		8.387	3.029	4.754	2.3324	1.2596	6.4437	5.0501	0	0	1.9162	0.20945
Mill1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	1	0	3.2034e-16
Mill2		0.1	0.15822	0.25039	0.1	0.1	0.1	8.2968	1	1	1.3242	5.944
Mina	MYC induced nuclear antigen	3.5588	1.2391	3.7991	4.0956	2.4153	2.0487	2.8081	0	0	0.65344	-0.02612
Mink1	Misshapen-like kinase 1 (zebrafish)	31.516	12.698	12.312	57.49	29.077	9.6912	13.785	1	0	-1.2398	-0.88539
Minpp1	Multiple inositol polyphosphate histidine phosphatase, 1	4.3237	9.3157	9.9397	8.9872	4.8681	6.2726	7.6253	0	0	1.0298	0.065969
Mios		5.8713	4.2427	6.3918	3.6672	1.1326	0.68299	4.6835	0	0	2.4966	0.35387
Miox	Myo-inositol oxygenase	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mip	Major intrinsic protein of lens fiber	0.1	0.1	0.12003	0.1	0.1	0.1	0.1	0	0	0.26339	-0.047374
Mipep	Mitochondrial intermediate peptidase	0.17529	0.36328	0.45465	0.56141	0.14171	0.11032	0.69566	0	0	1.6818	1.2081
Mipol1	Mirror-image polydactyly 1	2.0216	1.6858	1.7737	2.0596	0.70934	0.31737	3.9825	0	0	1.3222	1.4798
Mir100		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir101a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir101b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir101c		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir103-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir103-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir105		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir106a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir106b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir107		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir10a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir10b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1186		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1186b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1187		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1188		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1190		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1192		0.1	0.1	0.1	0.1	0.1	0.1	0.48064	0	0	0	2.265
Mir1193		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1196		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1197		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1199		0.1	0.1	0.1	0.47288	0.1	0.1	0.1	0	0	0	-0.69729
Mir1224		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir122a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1247		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1249		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir124a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir124a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir124a-3		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1251		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir125a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir125b-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir125b-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir126		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1264		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir127		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir128-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir128-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir129-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir129-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1298		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1306		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir130a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir130b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir132		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir133a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir133a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir133b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir134		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir135a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir135a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir135b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir136		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir137		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir138-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir138-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir139		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir140		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir141		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir142		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir143		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir144		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir145		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir146		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir146b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir147		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir148a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir148b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir149		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir150		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir152		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir153		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir154		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir155		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir15a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir15b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir16-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir16-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir17		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir17hg		0.86292	1.0128	1.0983	1.1219	0.1282	1.0974	0.72224	0	0	3.0989	-0.29633
Mir18		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181b-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181b-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181c		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir181d		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir182		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir183		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1839		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir184		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1843		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir185		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir186		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir187		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir188		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1892		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1893		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1894		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1895		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1896		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1897		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1898		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1899		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir18b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir190		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1900		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1901		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1902		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1903		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1904		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1905		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1906-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1907		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir190b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir191		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1912		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir192		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1929		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir193		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1930		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1931		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1932		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1933		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1934		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1936		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1938		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir193b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir194-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir194-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1940		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1941		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1942		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1943		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1945		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1946a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1947		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1948		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1949		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir195		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1951		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1952		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1953		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1955		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1956		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1960		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1961		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1962		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1963		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1964		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1965		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1966		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1967		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1968		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1969		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir196a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir196a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir196b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1971		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1981		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1982		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1983		0.1	0.1	0.44458	0.1	0.1	0.1	0.1	0	0	2.1524	-0.65471
Mir199a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir199b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir19a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir19b-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir19b-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1a-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1a-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir1b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir200a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir200b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir200c		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir201		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir202		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir203		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir204		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir205		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir206		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir207		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir208a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir208b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir20a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir20b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir21		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir210		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir211		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir212		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir2136		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir2137		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir215		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir216a		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir216b		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir217		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir218-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir218-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir219-1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir219-2		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Mir22		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
